Name,Sex,Age,Height,Weight,Team,Year,City,Sport,Event,Medal
Georgios Afroudakis,M,35.0,194.0,103.0,Greece,2012,London,Water Polo,Water Polo Men's Water Polo,
Khristos Afroudakis,M,28.0,188.0,88.0,Greece,2012,London,Water Polo,Water Polo Men's Water Polo,
Drago Agache,M,28.0,175.0,75.0,Romania,2012,London,Swimming,Swimming Men's 100 metres Breaststroke,
Alphonsine Agahozo,F,16.0,160.0,50.0,Rwanda,2012,London,Swimming,Swimming Women's 50 metres Freestyle,
Luca Agamennoni,M,31.0,187.0,93.0,Italy,2012,London,Rowing,Rowing Men's Coxless Fours,
Komi-Mawussi Agbetoglo,M,18.0,,,Togo,2012,London,Table Tennis,Table Tennis Men's Singles,
Marilyn Agliotti,F,33.0,172.0,58.0,Netherlands,2012,London,Hockey,Hockey Women's Hockey,Gold
Yannick Agnel,M,20.0,202.0,90.0,France,2012,London,Swimming,Swimming Men's 100 metres Freestyle,
Yannick Agnel,M,20.0,202.0,90.0,France,2012,London,Swimming,Swimming Men's 200 metres Freestyle,Gold
Yannick Agnel,M,20.0,202.0,90.0,France,2012,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Yannick Agnel,M,20.0,202.0,90.0,France,2012,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
Yannick Agnel,M,20.0,202.0,90.0,France,2012,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
Anna Agrafioti,F,21.0,178.0,76.0,Greece,2012,London,Sailing,Sailing Women's One Person Dinghy,
Ulrika Maria gren,F,25.0,176.0,74.0,Sweden,2012,London,Handball,Handball Women's Handball,
Renzo Pasquale Zeglio Agresta,M,27.0,181.0,76.0,Brazil,2012,London,Fencing,"Fencing Men's Sabre, Individual",
Alberto Martn Aguilar Surez,M,27.0,194.0,80.0,Venezuela,2012,London,Athletics,Athletics Men's 4 x 400 metres Relay,
Alessandra Aguilar Morn,F,34.0,165.0,50.0,Spain,2012,London,Athletics,Athletics Women's Marathon,
Iaki Aguilar Vicente,M,28.0,189.0,82.0,Spain,2012,London,Water Polo,Water Polo Men's Water Polo,
Macarena Aguilar Daz,F,27.0,170.0,67.0,Spain,2012,London,Handball,Handball Women's Handball,Bronze
