Name,Sex,Age,Height,Weight,Year,Season,City,Sport,Medal
Netai Chand Bysack,M,31.0,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Cycling,
Netai Chand Bysack,M,31.0,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Cycling,
Cyrus Cama,M,20.0,171.63860830527497,67.75776754890678,1992,Summer,Barcelona,Sailing,
"Richard John ""Dickie"" Carr",M,21.0,180.0,67.75776754890678,1932,Summer,Los Angeles,Hockey,Gold
"Richard John ""Dickie"" Carr",M,21.0,180.0,67.75776754890678,1932,Summer,Los Angeles,Athletics,
Joaquim Martin Carvalho,M,24.0,178.0,69.0,1984,Summer,Los Angeles,Hockey,
A. G. Chagale,M,25.547694753577108,171.63860830527497,67.75776754890678,1948,Summer,London,Art Competitions,
Rushmi Chakravarthi,F,34.0,170.0,65.0,2012,Summer,London,Tennis,
Suprovat Chakravarty,M,20.0,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Cycling,
Suprovat Chakravarty,M,20.0,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Cycling,
Suprovat Chakravarty,M,20.0,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Cycling,
Suprovat Chakravarty,M,20.0,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Cycling,
Dhyan Chand Bais,M,22.0,169.0,67.75776754890678,1928,Summer,Amsterdam,Hockey,Gold
Dhyan Chand Bais,M,26.0,169.0,67.75776754890678,1932,Summer,Los Angeles,Hockey,Gold
Dhyan Chand Bais,M,30.0,169.0,67.75776754890678,1936,Summer,Berlin,Hockey,Gold
Dutee Chand,F,20.0,160.0,50.0,2016,Summer,Rio de Janeiro,Athletics,
Gian Chand,M,25.547694753577108,171.63860830527497,67.75776754890678,1980,Summer,Moskva,Shooting,
Hari Chand,M,23.0,172.0,63.0,1976,Summer,Montreal,Athletics,
Hari Chand,M,27.0,172.0,63.0,1980,Summer,Moskva,Athletics,
Hari Chand,M,27.0,172.0,63.0,1980,Summer,Moskva,Athletics,
Lal Chand Nil,M,32.0,177.0,62.0,1960,Summer,Roma,Athletics,
Udey Chand,M,25.0,175.0,70.0,1960,Summer,Roma,Wrestling,
Udey Chand,M,29.0,175.0,70.0,1964,Summer,Tokyo,Wrestling,
Udey Chand,M,33.0,175.0,70.0,1968,Summer,Mexico City,Wrestling,
Mehar Chand Dhawan,M,25.547694753577108,171.63860830527497,67.75776754890678,1932,Summer,Los Angeles,Athletics,
Mehar Chand Dhawan,M,25.547694753577108,171.63860830527497,67.75776754890678,1932,Summer,Los Angeles,Athletics,
Sri Chand Ram,M,25.547694753577108,171.63860830527497,67.75776754890678,1956,Summer,Melbourne,Athletics,
Apurvi Singh Chandela,F,23.0,157.0,54.0,2016,Summer,Rio de Janeiro,Shooting,
Raghavan Chanderasekaran,M,18.0,150.0,54.0,1988,Summer,Seoul,Weightlifting,
Raghavan Chanderasekaran,M,26.0,150.0,54.0,1996,Summer,Atlanta,Weightlifting,
Ran Shor Chandnani,M,25.547694753577108,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Water Polo,
Bimal Chandra,M,25.547694753577108,171.63860830527497,67.75776754890678,1948,Summer,London,Swimming,
Bimal Chandra,M,25.547694753577108,171.63860830527497,67.75776754890678,1948,Summer,London,Swimming,
Menon Chandrasekhar,M,24.0,170.0,63.0,1960,Summer,Roma,Football,
Prithipal Chatterjee,M,28.0,171.0,59.0,1972,Summer,Munich,Shooting,
Samarandra N. Chatterjee,M,25.547694753577108,171.63860830527497,67.75776754890678,1948,Summer,London,Water Polo,
Suhas Chatterjee,M,25.547694753577108,171.63860830527497,67.75776754890678,1948,Summer,London,Water Polo,
Garima Chaudhary,F,22.0,171.63860830527497,63.0,2012,Summer,London,Judo,
Sudha Chaudhry,F,19.0,162.0,67.75776754890678,1980,Summer,Moskva,Hockey,
Phadeppa Dareppa Chaugule,M,25.547694753577108,171.63860830527497,67.75776754890678,1920,Summer,Antwerpen,Athletics,
Phadeppa Dareppa Chaugule,M,25.547694753577108,171.63860830527497,67.75776754890678,1920,Summer,Antwerpen,Athletics,
Devesh Singh Chauhan,M,22.0,153.0,84.0,2004,Summer,Athina,Hockey,
Shiv Sankar Prasad Chawrasia,M,38.0,165.0,67.0,2016,Summer,Rio de Janeiro,Golf,
Paul Cheema Singh,M,39.0,169.0,77.0,1960,Summer,Roma,Shooting,
Kynan Darius Chenai,M,25.0,200.0,85.0,2016,Summer,Rio de Janeiro,Shooting,
Bharat Kumar Chetri,M,30.0,171.63860830527497,67.75776754890678,2012,Summer,London,Hockey,
Bir Bahadur Chettri,M,20.0,165.0,68.0,1976,Summer,Montreal,Hockey,
Bir Bahadur Chettri,M,24.0,165.0,68.0,1980,Summer,Moskva,Hockey,Gold
"Souren ""Roy"" Choudhury",M,26.0,183.0,58.0,1972,Summer,Munich,Shooting,
"Souren ""Roy"" Choudhury",M,34.0,183.0,58.0,1980,Summer,Moskva,Shooting,
Souren Choudhury,M,33.0,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Shooting,
Shagun Chowdhary,F,29.0,171.63860830527497,67.75776754890678,2012,Summer,London,Shooting,
Rajendra Absolem Christy,M,30.0,165.0,58.0,1968,Summer,Mexico City,Hockey,Bronze
Lal Chuni,M,21.0,171.63860830527497,67.75776754890678,1992,Winter,Albertville,Alpine Skiing,
Lal Chuni,M,21.0,171.63860830527497,67.75776754890678,1992,Winter,Albertville,Alpine Skiing,
Leslie Walter Claudius,M,21.0,162.0,53.0,1948,Summer,London,Hockey,Gold
Leslie Walter Claudius,M,25.0,162.0,53.0,1952,Summer,Helsinki,Hockey,Gold
Leslie Walter Claudius,M,29.0,162.0,53.0,1956,Summer,Melbourne,Hockey,Gold
Leslie Walter Claudius,M,33.0,162.0,53.0,1960,Summer,Roma,Hockey,Silver
Charles Cornelius,M,26.0,170.0,65.0,1972,Summer,Munich,Hockey,Bronze
Anthony Francis Coutinho,M,24.0,172.0,63.0,1964,Summer,Tokyo,Athletics,
Robert Percival Cranston,M,19.0,171.63860830527497,67.75776754890678,1948,Summer,London,Boxing,
Mohammed Samir Dad,M,21.0,180.0,67.0,2000,Summer,Sydney,Hockey,
Meldric St. Clair daLuz Vieira,M,31.0,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Hockey,Gold
Dhulchand Damor,M,27.0,171.63860830527497,67.75776754890678,1992,Summer,Barcelona,Archery,
Dhulchand Damor,M,27.0,171.63860830527497,67.75776754890678,1992,Summer,Barcelona,Archery,
Ali Iqtidar Shah Dara,M,21.0,171.63860830527497,67.75776754890678,1936,Summer,Berlin,Hockey,Gold
Ankita Das,F,19.0,171.63860830527497,67.75776754890678,2012,Summer,London,Table Tennis,
Atanu Das,M,24.0,175.0,79.0,2016,Summer,Rio de Janeiro,Archery,
Durga Charan Das,M,25.547694753577108,171.63860830527497,67.75776754890678,1948,Summer,London,Water Polo,
